,coilno,clean
0,396378,1
1,396376,1
2,396377,1
3,396379,1
4,396380,1
5,396381,1
6,396382,1
7,396383,1
8,396384,1
9,396385,1
10,396386,1
11,396387,1
12,396388,1
13,396389,1
14,396390,1
15,396391,1
16,396392,1
17,396393,1
18,396394,1
19,396395,1
20,396396,1
21,396397,1
22,396398,1
23,396399,1
24,396400,1
25,396401,1
26,396402,1
27,396403,1
28,396404,1
29,396405,1
30,396406,1
31,396407,1
32,396408,1
33,396409,1
34,396410,1
35,396411,1
36,396412,1
37,396413,1
38,396414,1
39,396415,1
40,396416,1
41,396417,1
42,396418,1
43,396419,1
44,396420,1
45,396421,1
46,396422,1
47,396423,1
48,396424,1
49,396425,1
50,396426,1
51,396427,1
52,396428,1
53,396429,1
54,396430,1
55,396431,1
56,396432,1
57,396433,1
58,396434,1
59,396435,1
60,396436,1
61,396437,1
62,396438,1
63,396440,1
64,396441,1
65,396442,1
66,396443,1
67,396444,1
68,396445,1
69,396447,1
70,396448,1
71,396449,1
72,396450,1
73,396451,1
74,396452,1
75,396453,1
76,396454,1
77,396455,1
78,396456,1
79,396457,1
80,396458,1
81,396459,1
82,396460,1
83,396461,1
84,396462,1
85,396463,1
86,396464,1
87,396465,1
88,396466,1
89,396467,1
90,396468,1
91,396469,1
92,396470,1
93,396471,1
94,396472,1
95,396473,1
96,396474,1
97,396476,0
98,396477,1
99,396478,1
100,396479,1
101,396480,1
102,396481,1
103,396482,1
104,396483,1
105,396484,1
106,396485,1
107,396486,1
108,396487,1
109,396488,1
110,396489,1
111,396490,1
112,396491,1
113,396492,1
114,396493,1
115,396494,1
116,396495,1
117,396496,1
118,396497,1
119,396498,1
120,396499,1
121,396500,1
122,396501,1
123,396502,1
124,396503,1
125,396504,1
126,396505,1
127,396506,1
128,396507,1
129,396508,1
130,396509,1
131,396510,1
132,396511,1
133,396661,1
134,396662,1
135,396663,1
136,396664,1
137,396665,1
138,396666,1
139,396667,1
140,396668,1
141,396669,1
142,396670,1
143,396671,1
144,396672,1
145,396673,1
146,396674,1
147,396675,1
148,396676,1
149,396677,1
150,396678,1
